Matchup,Referee,Market_Spread,Model_Margin,Target_Spread_Bet,Spread_Edge,Market_Total,Model_Total,Target_Total_Bet,Total_Edge
DET @ BUF,Carl Cheffers,BUF -5.5,BUF -1.1,DET +5.5,4.4,54.5,44.0,UNDER 54.5,10.5
PHI @ TEN,Bill Vinovich,TEN -7.5,TEN -2.3,PHI +7.5,5.2,39.5,40.4,PASS,0.9
PIT @ NE,John Hussey,NE -5.5,NE -0.9,PIT +5.5,4.6,41.5,40.7,PASS,0.8
MIN @ CHI,Scott Novak,CHI -4.5,CHI -1.2,MIN +4.5,3.3,48.5,43.5,UNDER 48.5,5.0
CAR @ ATL,Adrian Hill,ATL -2.5,ATL -1.2,PASS,1.3,44.0,41.5,UNDER 44.0,2.5
GB @ NYJ,Brad Allen,NYJ -3.5,NYJ -1.1,GB +3.5,2.4,44.5,43.3,PASS,1.2
NO @ BAL,Shawn Smith,BAL -8.5,BAL -0.8,NO +8.5,7.7,46.5,43.3,UNDER 46.5,3.2
CIN @ HOU,Alex Kemp,HOU -2.5,HOU -1.4,PASS,1.1,46.0,43.9,UNDER 46.0,2.1
CLE @ TB,Clay Martin,TB -8.5,TB -2.0,CLE +8.5,6.5,41.5,39.0,UNDER 41.5,2.5
JAX @ DEN,Clete Blakeman,DEN -2.5,DEN -1.8,PASS,0.7,45.5,42.6,UNDER 45.5,2.9
LV @ LAC,Alan Eck,LAC -6.5,LAC -2.0,LV +6.5,4.5,43.5,41.7,PASS,1.8
SEA @ ARI,Land Clark,SEA -3.5,ARI -1.0,ARI -3.5,4.5,41.0,42.2,PASS,1.2
MIA @ SF,Craig Wrolstad,SF -13.5,SF -2.6,MIA +13.5,10.9,45.0,42.3,UNDER 45.0,2.7
WAS @ DAL,Tra Blake,DAL -3.5,DAL -2.8,PASS,0.7,50.5,41.4,UNDER 50.5,9.1
IND @ KC,Ron Torbert,KC -6.5,KC -1.5,IND +6.5,5.0,46.5,42.0,UNDER 46.5,4.5
NYG @ LAR,Brad Rogers,LAR -7.5,LAR -1.5,NYG +7.5,6.0,48.5,41.7,UNDER 48.5,6.8
