season,season_type,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status
2026,REG,REG,ARI,1,00-0034381,LB,Josh Sweat,Josh,Sweat,NA,NA,NA,Not injury related - resting player,Knee,Full Participation in Practice
2026,REG,REG,ARI,1,00-0035859,P,Blake Gillikin,Blake,Gillikin,NA,NA,NA,Groin,NA,Full Participation in Practice
2026,REG,REG,ARI,1,00-0039007,CB,Garrett Williams,Garrett,Williams,Achilles,NA,Out,Achilles,NA,Limited Participation in Practice
2026,REG,REG,ARI,1,00-0039808,G,Isaiah Adams,Isaiah,Adams,Knee,NA,Out,Knee,NA,Did Not Participate In Practice
2026,REG,REG,ARI,1,00-0039864,S,Dadrion Taylor-Demerson,Dadrion,Taylor-Demerson,Ribs,NA,Out,Ribs,NA,Did Not Participate In Practice
2026,REG,REG,ARI,1,00-0040751,CB,Will Johnson,William,Johnson,NA,NA,NA,Ankle,NA,Full Participation in Practice
2026,REG,REG,ARI,1,00-0041027,RB,Jeremiyah Love,Jeremiyah,Love,Ankle,NA,Questionable,Ankle,NA,Limited Participation in Practice
2026,REG,REG,ATL,1,00-0031279,T,Jake Matthews,Jacob,Matthews,NA,NA,NA,Not injury related - resting player,NA,Did Not Participate In Practice
2026,REG,REG,ATL,1,00-0031576,DE,Za'Darius Smith,Za'Darius,Smith,Shoulder,NA,Questionable,Shoulder,NA,Full Participation in Practice
2026,REG,REG,ATL,1,00-0034371,DT,Da'Shawn Hand,Da'Shawn,Hand,NA,NA,NA,Knee,NA,Full Participation in Practice
2026,REG,REG,ATL,1,00-0035237,T,Jawaan Taylor,Jawaan,Taylor,NA,NA,NA,Knee,NA,Full Participation in Practice
2026,REG,REG,ATL,1,00-0036212,QB,Tua Tagovailoa,Tuanigamanuolepola,Tagovailoa,Oblique,NA,Out,Oblique,NA,Did Not Participate In Practice
2026,REG,REG,ATL,1,00-0036354,G,Kyle Hinton,Kyle,Hinton,NA,NA,NA,Knee,NA,Full Participation in Practice
2026,REG,REG,ATL,1,00-0039859,DT,Brandon Dorlus,Brandon,Dorlus,NA,NA,NA,Groin,NA,Full Participation in Practice
2026,REG,REG,ATL,1,00-0039917,QB,Michael Penix Jr.,Michael,Penix,Knee,NA,Out,Knee,NA,Full Participation in Practice
2026,REG,REG,ATL,1,00-0040156,CB,Billy Bowman Jr.,Billy,Bowman,Achilles,NA,Out,Achilles,NA,Limited Participation in Practice
2026,REG,REG,ATL,1,00-0040687,T,Cameron Williams,Cameron,Williams,Ankle,NA,Out,Ankle,NA,Did Not Participate In Practice
2026,REG,REG,ATL,1,00-0041044,WR,Zachariah Branch,Zachariah,Branch,NA,NA,NA,Hamstring,NA,Full Participation in Practice
